Time, Stopping_Point, Dataset, special
28.24, count_matrix, 1442_OB,
30.36, count_matrix, 1442_OB(wrong),
24.3, quality_control,hippo_4, 
17.4, quality_control, hippo_3,
2.16, quality_control, 1442_OB,
0.31, count_matrix, starfish_iss,
19.40, plot_decoded_spots, merfish_starfish(white_tophat),
2.11.14, count_matrix, hippo_4,(1000x1000tiles)
27.5,count_matrix,1442_OB,spot_detection_qc
28.19,count_matrix,1442_OB,spot_detection_qc
30.36, count_matrix, 1442_OB, 4000x4000 tiles,
37.16, count_matrix, 1442_OB, 1000x1000 tiles,


